Body,Name of Body,Date,Transaction Number,Invoice Number,Amount,Supplier Name,Supplier ID,VAT Reg no,Expense Area,Expense Type,Expense Code,Creditor Type
18,Devon County Council,10/07/2013,CFADRES30838896,REDACTED UNDER DP ACT,1120,A N A TREATMENT CENTRES LTD,302897,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30839571,REDACTED UNDER DP ACT,1120,A N A TREATMENT CENTRES LTD,302897,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838874,REDACTED UNDER DP ACT,6112.68,AAA ELDERLY CARE LTD/ST SAVIOURS,298874,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30839548,REDACTED UNDER DP ACT,5990.96,AAA ELDERLY CARE LTD/ST SAVIOURS,298874,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838624,REDACTED UNDER DP ACT,7584.32,AARON COURT,173212,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30839296,REDACTED UNDER DP ACT,7584.32,AARON COURT,173212,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838847,REDACTED UNDER DP ACT,7067.12,ABBEYFIELD - SHANDFORD,292973,231972268,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30839522,REDACTED UNDER DP ACT,7067.12,ABBEYFIELD - SHANDFORD,292973,231972268,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838293,REDACTED UNDER DP ACT,5635.61,ABBEYFIELD E DEV EXTRA CARE SOC,88511,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30838966,REDACTED UNDER DP ACT,6555.98,ABBEYFIELD E DEV EXTRA CARE SOC,88511,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838554,REDACTED UNDER DP ACT,1537.3,ACTION ON HEARING LOSS,121442,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,16/07/2013,ACMLDMH30705499,INCS000751,4451.08,ACTION ON HEARING LOSS,121442,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,16/07/2013,ACMLDMH30705500,INCS001179,4451.08,ACTION ON HEARING LOSS,121442,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,17/07/2013,ACMOPEN30723411,INCS000994,4211.68,ACTION ON HEARING LOSS,121442,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,17/07/2013,ACMOPEN30723412,INCS0001372,4211.68,ACTION ON HEARING LOSS,121442,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30839226,REDACTED UNDER DP ACT,1537.3,ACTION ON HEARING LOSS,121442,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838476,REDACTED UNDER DP ACT,2620,ADDACTION LTD T/A CHY COLOM,90883,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30839150,REDACTED UNDER DP ACT,842.14,ADDACTION LTD T/A CHY COLOM,90883,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838371,REDACTED UNDER DP ACT,17315.69,ADELAIDE LODGE CARE HOME PRTNSHP,89773,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,11/07/2013,SOCCOMM31335670,7830,2503.71,ADELAIDE LODGE CARE HOME PRTNSHP,89773,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,19/07/2013,SOCCOMM31335661,7911,4565,ADELAIDE LODGE CARE HOME PRTNSHP,89773,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838805,REDACTED UNDER DP ACT,782,ADL CARE - T/A JUBILEE HOUSE,278152,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30839479,REDACTED UNDER DP ACT,782,ADL CARE - T/A JUBILEE HOUSE,278152,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,03/07/2013,CFADDOM30810681,REDACTED UNDER DP ACT,1791.84,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,03/07/2013,CFADDOM30810690,REDACTED UNDER DP ACT,1662.52,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,29/07/2013,CFADDOM30812163,REDACTED UNDER DP ACT,17715.54,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,29/07/2013,CFADDOM30812164,REDACTED UNDER DP ACT,8646.82,ADVENT CARE TEAM LTD,168316,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838857,REDACTED UNDER DP ACT,628.57,AGINCOURT CARE HOME LTD,295122,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFSUPP30947213,REDACTED UNDER DP ACT,1202.92,ALABARE CHRISTIAN CARE CENTRES,226086,,People Services,Accomodation Based Services (3rd),5707,B
18,Devon County Council,10/07/2013,CFADRES30838276,REDACTED UNDER DP ACT,14734.16,ALBAN HOUSE,87208,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30838949,REDACTED UNDER DP ACT,13578.23,ALBAN HOUSE,87208,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838707,REDACTED UNDER DP ACT,1843.76,ALINTHIA HOUSE,218317,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30839379,REDACTED UNDER DP ACT,1843.63,ALINTHIA HOUSE,218317,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838481,REDACTED UNDER DP ACT,2507.42,ALLIED BACK-UP PROJECT,90897,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30839155,REDACTED UNDER DP ACT,2507.42,ALLIED BACK-UP PROJECT,90897,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838384,REDACTED UNDER DP ACT,8616.14,ALPHINGTON LODGE RESIDENTIAL HME,89941,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30839058,REDACTED UNDER DP ACT,7764.14,ALPHINGTON LODGE RESIDENTIAL HME,89941,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838413,REDACTED UNDER DP ACT,1411.12,ALPINE LODGE RCH LTD,90255,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30839087,REDACTED UNDER DP ACT,1411.12,ALPINE LODGE RCH LTD,90255,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,02/07/2013,CFCLEAV30886902,REDACTED UNDER DP ACT,531.84,AMBER FOUNDATION THE,117951,,People Services,Cl-Supported Accom-Rel Child (3rd),5771,B
18,Devon County Council,09/07/2013,ACLCENT30701127,1505,5285,AMBER FOUNDATION THE,117951,,Place Services,Other Fees & Charges (Expenditure),4311,B
18,Devon County Council,09/07/2013,CFCLEAV30887096,REDACTED UNDER DP ACT,531.84,AMBER FOUNDATION THE,117951,,People Services,Cl-Supported Accom-Rel Child (3rd),5771,B
18,Devon County Council,16/07/2013,CFCLEAV30887287,REDACTED UNDER DP ACT,531.84,AMBER FOUNDATION THE,117951,,People Services,Cl-Supported Accom-Rel Child (3rd),5771,B
18,Devon County Council,23/07/2013,CFCLEAV30887487,REDACTED UNDER DP ACT,531.84,AMBER FOUNDATION THE,117951,,People Services,Cl-Supported Accom-Rel Child (3rd),5771,B
18,Devon County Council,30/07/2013,ACLCENT30701307,1522,1294,AMBER FOUNDATION THE,117951,,Place Services,Other Fees & Charges (Expenditure),4311,B
18,Devon County Council,30/07/2013,CFCLEAV30887680,REDACTED UNDER DP ACT,601.84,AMBER FOUNDATION THE,117951,,People Services,Care Leaver - Weekly Allowance,6006,B
18,Devon County Council,31/07/2013,CFADDAY30791798,REDACTED UNDER DP ACT,640,AMBER FOUNDATION THE,117951,,People Services,Individualised Support - Private (3rd),5706,B
18,Devon County Council,15/07/2013,CFADDOM30811478,REDACTED UNDER DP ACT,1139.2,ANGEL HOMECARE,210685,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,15/07/2013,CFADDOM30811482,REDACTED UNDER DP ACT,2278.4,ANGEL HOMECARE,210685,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,15/07/2013,CFADDOM30811484,REDACTED UNDER DP ACT,655.04,ANGEL HOMECARE,210685,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,15/07/2013,CFADDOM30811485,REDACTED UNDER DP ACT,897.12,ANGEL HOMECARE,210685,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,15/07/2013,CFADDOM30811486,REDACTED UNDER DP ACT,740.48,ANGEL HOMECARE,210685,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,15/07/2013,CFADDOM30811488,REDACTED UNDER DP ACT,855,ANGEL HOMECARE,210685,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,15/07/2013,CFADDOM30811494,REDACTED UNDER DP ACT,996.8,ANGEL HOMECARE,210685,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,15/07/2013,CFADDOM30811496,REDACTED UNDER DP ACT,1253.12,ANGEL HOMECARE,210685,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,15/07/2013,CFADDOM30811497,REDACTED UNDER DP ACT,519.76,ANGEL HOMECARE,210685,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,15/07/2013,CFADDOM30811501,REDACTED UNDER DP ACT,697.76,ANGEL HOMECARE,210685,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,15/07/2013,CFADDOM30811503,REDACTED UNDER DP ACT,825.92,ANGEL HOMECARE,210685,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838488,REDACTED UNDER DP ACT,6761.1,ANGELA COURT,90966,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30839162,REDACTED UNDER DP ACT,6761.1,ANGELA COURT,90966,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838288,REDACTED UNDER DP ACT,3208.08,ANNING BJ,87559,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30838961,REDACTED UNDER DP ACT,3208.08,ANNING BJ,87559,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838870,REDACTED UNDER DP ACT,750.8,ARGYLE CARE GRP TA FERNLEA CARE,298511,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30839544,REDACTED UNDER DP ACT,750.8,ARGYLE CARE GRP TA FERNLEA CARE,298511,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838832,REDACTED UNDER DP ACT,793,ARGYLE PARK NH/MARK&LUKE GILBERT,289098,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30839507,REDACTED UNDER DP ACT,793,ARGYLE PARK NH/MARK&LUKE GILBERT,289098,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838723,REDACTED UNDER DP ACT,14778.04,ARK CARE HOMES LTD (CF PAYMENTS),229190,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,10/07/2013,CFADRES30838908,REDACTED UNDER DP ACT,818,ARK CARE/TA DIDSBURY COURT REST,304532,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,24/07/2013,CFADRES30839582,REDACTED UNDER DP ACT,818,ARK CARE/TA DIDSBURY COURT REST,304532,,People Services,Care Spot - Private (3rd),5701,B
18,Devon County Council,17/07/2013,CFADDAY30791134,REDACTED UNDER DP ACT,2211.2,AROHA HOUSE LIMITED,216752,,People Services,Individualised Support - Private (3rd),5706,B
18,Devon County Council,17/07/2013,CFADDAY30791135,REDACTED UNDER DP ACT,2211.2,AROHA HOUSE LIMITED,216752,,People Services,Individualised Support - Private (3rd),5706,B
18,Devon County Council,17/07/2013,CFADDAY30791136,REDACTED UNDER DP ACT,2211.2,AROHA HOUSE LIMITED,216752,,People Services,Individualised Support - Private (3rd),5706,B
