Body,Name of Body,Date,Transaction number,Amount,Supplier name,Supplier ID,VAT reg no,Expense area,Expense type,Expense code,Creditor type
18,Devon County Council,29/04/2025,22002769,697.00,PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,29/04/2025,22002752,"1,496.00",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,29/04/2025,22002751,"5,414.50",PROMOTING INDEPENDENT CARE LIMITED,376159,,Children & Young People's Futures,Agency Supply Staff,A11005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,14/04/2025,22000298,550.00,ESSENTIAL 6 LIMITED,219393,941534529,Children & Young People's Futures,Staff Training Expenses - Non Payroll,A16015,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,15/04/2025,22000304,"3,640.00",AMICUS PSYCHOLOGY LIMITED,400956,,P-Ledger - Separate Legal Entity,Staff Training Expenses - Non Payroll,A16015,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,23/04/2025,22003707,"1,057.03",THE CHILDREN'S HOMES ASSOCIATION,393037,,Children & Young People's Futures,Staff Professional Membership Fees Non Payroll,A16020,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,25/04/2025,22000760,"1,119.41",AUK SUPPLIES LIMITED,67346,142144702,Children & Young People's Futures,"Property Repairs, Maintenance & Alterations (programmed)",A20005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,23/04/2025,22001043,"1,609.57",FULLSTOP FIRE & SECURITY LIMITED,175778,776842676,Transformation & Business Services,"Property Repairs, Maintenance & Alterations (programmed)",A20005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,29/04/2025,22003011,"2,974.47",WESTCOUNTRY MAINTENANCE SERVICES LIMITED,229952,915005854,Transformation & Business Services,"Property Repairs, Maintenance & Alterations (programmed)",A20005,DCC CIS Suppliers
18,Devon County Council,24/04/2025,22004644,753.00,ELIM HOUSING ASSOCIATION,348503,736623916,"Public Health, Communities & Prosperity","Property Repairs, Maintenance & Alterations (Reactive)",A20010,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,25/04/2025,22001028,"1,303.92",FULLSTOP FIRE & SECURITY LIMITED,175778,776842676,Children & Young People's Futures,Security / Surveillance Equipment Maintenance,A20015,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,30/04/2025,22004836,"1,850.09",P H S GROUP LIMITED,86901,542951438,Integrated Adult Social Care,Health and Safety,A20020,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,30/04/2025,22005832,500.00,SOUTH MOLTON TOWN COUNCIL,4560,144441781,"Climate Change, Environment & Transport",Building Rents,A22005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,22/04/2025,22002879,"6,875.00",TEIGNBRIDGE DISTRICT COUNCIL,4872,142214023,"Climate Change, Environment & Transport",Building Rents,A22005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
