Body,Name of Body,Date,Transaction number,Amount,Supplier name,Supplier ID,VAT reg no,Expense area,Expense type,Expense code,Creditor type
18,Devon County Council,01/08/2025,22013341,500.54,NORSE SOUTH WEST LIMITED,279741,785421021,Central Accounting,Fees,A44038,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22021384,504.00,FAMILY COMPASS,348346,392295664,Children & Young People's Futures,Support for Children in Care,A61060,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22021574,504.00,FAMILY COMPASS,348346,392295664,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22021634,504.00,FAMILY COMPASS,348346,392295664,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22021739,508.11,YOUTH ARTS AND HEALTH TRUST,340754,,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22025235,553.55,BIDFOOD,6550,643994692,Children & Young People's Futures,Provisions,A44030,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22021742,555.00,ASSOCIATION OF DIRECTORS OF ADULT SOCIAL SERVICES,261698,,Integrated Adult Social Care,Staff Professional Membership Fees Non Payroll,A16020,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22021414,580.00,TEIGN TREES & LANDSCAPES SOUTH WEST LIMITED,209228,250371238,"Climate Change, Environment & Transport",Other Hired & Contracting Services,A49005,DCC CIS Suppliers
18,Devon County Council,01/08/2025,22021671,583.08,CO-LAB EXETER,90202,186186963,Public Health and Communities,Payments to Private Contractors,A57115,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22025654,600.00,LISA FRASER-PICKARD,403917,,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22002865,601.10,TRIP COMMUNITY TRANSPORT ASSOCIATION,21790,989488523,P-Ledger - Separate Legal Entity,Equipment (Care),A61054,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22021382,612.00,ACTION FIRST ASSESMENT LIMITED,388434,313339624,Integrated Adult Social Care,Fees,A44038,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22022681,625.00,VICTORIA LEES,358401,304084537,"Chief Exec, Legal & Democratic services",Legal & Conveyancing Charges,A44968,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22021416,630.00,FAMILY COMPASS,348346,392295664,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22021626,630.00,FAMILY COMPASS,348346,392295664,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22013320,684.20,NORSE SOUTH WEST LIMITED,279741,785421021,Central Accounting,Fees,A44038,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22026183,693.00,J Jayamohan,600545,992 3186 89,"Chief Exec, Legal & Democratic services",Fees,A44038,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22025655,720.00,LISA FRASER-PICKARD,403917,,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22014048,741.60,HUSBANDRY SCHOOL THE,304475,132127750,Children & Young People's Futures,Other professional Services (Schools),A44185,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22021134,750.00,Phoenix Training and Consultancy Ltd,600177,NA,People and Culture,Fees,A44038,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22021242,750.75,ORION MEDICAL SUPPLIES LIMITED,355162,142018357,Public Health and Communities,Payments to Private Contractors,A57115,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22020794,760.00,SIMPLY GREAT MEDIA,367788,479704936,Children & Young People's Futures,Other professional Services (Schools),A44185,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22017325,850.00,SELECT ELECTRICS LIMITED,384296,712808447,"Capital - Climate Change, Environment & Transport",Works,C02009,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/08/2025,22021740,862.30,YOUTH ARTS AND HEALTH TRUST,340754,,P-Ledger - Separate Legal Entity,Support for Children in Care,A61060,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
