Body,Name of Body,Date,Transaction number,Amount,Supplier name,Supplier ID,VAT reg no,Expense area,Expense code,Expense type,Costcuk,Creditor type
18,Devon County Council,01/06/2026,22093603,"1,501.12",SUPPORT'ED LIMITED,352913,373393085,Dedicated Schools Grant,A44180,Services for Educational Estabs - Devon,R0010004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/06/2026,22095634,576.90,NORSE SOUTH WEST LIMITED,279741,785421021,Balance Sheet,A44038,Fees,R0208005,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/06/2026,22096399,760.20,PROSPERO RECRUITMENT LIMITED,352539,486704947,Dedicated Schools Grant,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/06/2026,22096407,"2,280.60",PROSPERO RECRUITMENT LIMITED,352539,486704947,Dedicated Schools Grant,A44180,Services for Educational Estabs - Devon,R0010003,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/06/2026,22096431,760.20,PROSPERO RECRUITMENT LIMITED,352539,486704947,Dedicated Schools Grant,A44180,Services for Educational Estabs - Devon,R0010004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/06/2026,22096463,"5,343.38",WGP MAINTENANCE LIMITED,397367,948500609,Children's Social Care,A20010,"Property Repairs, Maintenance & Alterations (Reactive)",R0095005,DCC CIS Suppliers
18,Devon County Council,01/06/2026,22096535,525.00,WESSEX TREE SURGEONS LIMITED,18324,382780231,Highways & Infrastructure Development,A49005,Other Hired & Contracting Services,R0557002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/06/2026,22096669,"1,800.00",EXETER RUGBY CLUB LTD,34972,918551313,Dedicated Schools Grant,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/06/2026,22096717,916.56,TEAM EDUCATE LIMITED BACS,374563,336808777,Dedicated Schools Grant,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/06/2026,22096718,"1,292.00",TEAM EDUCATE LIMITED BACS,374563,336808777,Dedicated Schools Grant,A44185,Other professional Services (Schools),R0082007,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/06/2026,22096729,779.00,SAFE SPACE TAUNTON,398184,,Children's Social Care,A61060,Support for Children in Care,R0106002,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/06/2026,22096735,"1,030.13",HELEN SMART,373015,,"Transport Operations, Environment and Waste",A44038,Fees,R0615001,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/06/2026,22096758,"1,018.42",TEAM EDUCATE LIMITED BACS,374563,336808777,Dedicated Schools Grant,A44180,Services for Educational Estabs - Devon,R0010004,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
18,Devon County Council,01/06/2026,22089519,"-34,339.00",JEREMY BENN ASSOCIATES LIMITED,321667,665300941,"Capital - Planning, Transportation and Environment",C02011,External Professional Fees,C0671012,"DCC Business Entities (Sole Trade, Partnership, Ltd)"
